supplier,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sum total years, share of global arms exports
Israel,0,0,0,0,8,30,0,4,0,23,0,0,0,0,5,34,46,45,55,48,21,27,36,18,44,110,52,203,212,188,255,209,246,402,279,202,344,138,71,202,82,165,358,416,337,206,335,273,227,166,401,458,548,401,616,510,429,609,375,801,660,548,462,417,400,570,1236,1193,1147,384,395,619,870,1159,21330,1.03%
Switzerland,0,0,0,0,0,0,0,0,0,49,435,493,534,351,394,484,367,262,91,105,18,42,34,54,89,465,546,312,196,455,533,554,411,331,528,347,345,312,370,319,468,497,452,235,176,146,195,126,214,282,186,221,178,198,279,266,310,308,484,238,260,326,235,194,337,482,217,175,243,218,159,113,185,93,18522,0.90%
Spain,0,0,0,0,0,0,0,0,0,0,1,5,6,6,7,29,21,7,7,6,70,140,18,18,84,277,46,25,38,18,10,135,265,370,245,93,198,158,143,169,117,105,71,104,254,89,113,634,174,46,47,8,18,99,54,113,898,628,626,984,273,997,266,450,962,982,481,820,705,308,981,619,970,940,17551,0.85%
Sweden,27,46,64,165,21,105,96,111,280,15,38,45,44,13,22,32,56,55,60,36,251,530,123,15,75,123,71,55,55,261,157,127,120,118,227,211,320,230,512,401,224,155,147,103,111,226,348,104,337,387,360,897,164,516,298,539,387,330,454,409,661,698,477,386,345,193,257,81,154,215,279,329,66,299,16249,0.79%
Canada,38,55,268,76,210,190,294,336,544,119,67,300,188,213,253,111,92,58,193,163,188,285,318,113,113,82,259,138,179,167,136,109,240,99,78,84,237,246,125,33,79,93,139,144,164,254,146,96,37,78,67,112,159,306,307,218,216,314,219,165,159,261,248,160,173,321,91,61,115,221,110,118,175,285,12808,0.62%
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,82,237,166,232,556,706,736,274,554,310,313,196,294,529,639,399,443,517,567,1491,683,630,299,455,376,313,165,116,167,72,34,12716,0.62%
Poland,0,0,0,0,0,0,0,0,0,0,5,5,12,111,237,234,319,309,288,323,268,278,276,158,249,316,425,400,336,247,226,365,230,134,91,131,265,222,232,20,112,62,57,0,133,179,57,23,1,65,47,81,56,83,47,18,282,163,73,75,28,8,31,147,33,2,5,10,26,10,0,3,419,499,9547,0.46%
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,105,105,130,65,0,126,28,73,0,54,48,72,118,0,60,7,27,24,25,32,0,10,230,0,96,74,109,158,278,110,224,177,328,203,350,220,94,437,702,1049,682,772,510,204,621,8878,0.43%
Norway,2,30,0,8,0,0,0,0,0,8,38,0,25,55,67,65,80,140,65,53,0,4,29,10,0,6,6,6,87,140,130,246,54,35,0,42,29,54,34,127,85,167,79,41,46,17,4,13,3,3,2,34,82,94,61,6,17,58,108,141,159,146,167,153,138,182,104,121,59,31,67,114,72,222,4471,0.22%
Turkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,44,20,5,27,43,28,25,67,85,120,76,70,90,144,139,157,225,244,179,249,276,265,487,535,609,4252,0.21%
Brazil,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,18,0,0,0,0,32,58,104,144,183,73,159,68,123,200,275,207,138,216,206,53,106,127,98,40,54,38,27,27,18,0,0,0,20,0,46,1,44,54,93,44,146,32,33,31,30,52,123,36,102,21,163,86,8,54,4025,0.19%
Australia,0,0,36,0,0,125,0,0,0,0,0,2,4,0,0,0,0,0,0,26,17,36,6,72,92,131,113,62,21,22,15,17,26,31,62,10,57,89,18,18,168,90,0,30,36,36,16,20,4,0,0,43,47,44,2,49,26,52,56,84,137,143,45,54,95,85,135,100,39,164,413,176,33,67,3597,0.17%
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,129,402,63,454,293,49,64,58,19,53,43,6,224,41,161,98,97,269,101,142,152,51,79,84,59,132,58,15,3411,0.17%
South Africa,0,0,0,0,0,0,0,0,0,8,27,33,0,0,0,0,0,8,0,13,2,7,22,1,2,28,19,0,0,0,49,49,1,0,0,25,25,28,25,0,0,54,75,54,13,17,31,7,22,28,20,37,22,47,74,36,199,137,141,107,243,74,193,111,63,67,82,96,82,101,115,97,58,31,2906,0.14%
