Volume of exports of major arms by the top suppliers  1950-2023;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 2 Nov 2024 10:30:55 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-2023,,Supplier,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1950-2023, Share of global arms imports,
,25,,Belgium,,,,,,,29,,,,3,0,2,0,0,,12,,,5,,0,,,,,,,2,3,1,19,41,89,115,3,19,,18,36,1,1,,,39,161,61,93,46,62,46,37,34,15,47,160,59,32,223,243,12,111,22,55,10,12,7,17,21,57,26,92,144,40,2384,0.1%,
,26,,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,8,12,,,,20,31,6,107,210,194,176,73,208,177,62,5,84,97,103,20,32,37,37,59,42,40,53,150,129,42,15,15,15,15,22,6,,,,1,,,,,,,,,13,2313,0.1%,
,27,,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,319,146,123,24,20,58,82,89,60,65,2,72,44,34,34,24,5,11,8,41,26,151,153,90,91,19,26,6,163,93,2275,0.1%,
,28,,Finland,,,,,25,,,,,75,75,5,5,,,3,67,39,39,39,37,40,30,,63,63,,,63,63,,,15,,,,,,1,,,18,9,12,20,25,3,1,17,20,12,31,35,35,27,38,121,60,97,63,66,64,99,69,93,26,54,28,39,25,12,15,40,32,2052,0.1%,
,29,,Japan,,,,,2,110,38,112,3,41,1,61,100,8,14,,5,,,31,,15,9,36,55,,,,9,11,167,,,17,17,44,92,,,15,30,54,101,122,130,126,165,25,,,,,,,,,,40,,,,,,,,,,2,3,,,,,13,1824,0.1%,
,30,,Austria,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,,,37,126,54,70,61,58,60,248,40,30,12,12,30,20,20,10,17,,18,3,29,23,23,17,83,2,3,3,62,67,14,44,65,52,23,28,16,10,17,22,8,3,10,3,3,10,1569,0.1%,
,31,,Denmark,,,,,,,,,,,20,,,,60,12,,128,24,,,,,,,24,,,,,18,29,64,115,,,,117,36,,80,,,183,268,16,,,,3,18,,10,2,,,5,6,8,10,8,26,26,8,19,22,21,13,25,2,,24,61,46,1555,0.1%,
,32,,Yugoslavia,,,,,,,17,,71,,6,,,,23,23,,,,21,3,26,,35,,14,65,71,45,25,103,103,22,53,77,94,8,2,17,18,80,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,0.1%,
,33,,Libya,,,,,,,,,,,,,,,,,,,,,,,0,0,,26,4,,8,395,95,107,169,14,54,31,9,13,64,7,36,,,,3,,,3,10,,,,21,16,113,113,18,9,17,32,27,0,,,,,,,,,,,,,1412,0.1%,
,34,,UAE,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,14,,,22,1,,,2,,,,,28,6,37,,,,,,,3,11,17,3,,34,39,3,70,108,87,142,95,101,114,128,194,58,17,14,1356,0.1%,
,35,,Iran,,,1,,,,,,,,,,3,,,,,28,,,23,6,106,6,129,81,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,3,9,1,2,75,,63,65,65,103,31,17,52,15,5,15,,,6,,136,184,1242,0.1%,
,36,,Jordan,,,,,,,,,,2,,,,,,,,,,,,36,,22,23,50,,18,,,,,,76,,2,7,,7,64,,,,,65,,,6,,,,,,,43,22,,13,13,28,117,,21,33,114,16,18,80,1,103,66,80,51,11,1207,0.1%,
,37,,Romania,,,,,,0,,,,,,,,,,,,,,,,6,9,9,1,,,,27,44,48,30,91,101,173,99,28,35,52,25,7,6,15,16,29,11,5,13,2,19,3,,,24,,3,8,32,,2,1,0,,216,,,,,,,,,1,1,1191,0.1%,
,38,,Singapore,,,,,,,,,,,,,,,,,,,,,,2,,,,17,,,29,72,,15,,25,88,,,81,25,87,44,3,3,11,30,,1,46,23,11,12,,4,,65,,,,,34,27,16,79,7,12,80,77,,,,24,72,36,11,1166,0.1%,
,39,,unknown supplier(s),23,12,,,,2,17,17,17,17,17,19,5,1,1,14,2,12,,0,,4,12,8,7,15,9,1,12,31,30,44,22,10,2,8,42,3,8,6,10,9,3,41,56,1,67,11,4,3,12,17,19,12,15,53,9,0,36,9,31,8,14,10,26,12,5,6,8,12,4,40,48,92,1150,0.1%,
,40,,Egypt,,,,,,,9,22,4,4,,0,7,8,1,,13,15,26,15,39,,,,,16,,67,78,13,29,77,81,71,37,5,19,76,81,81,25,,15,28,17,12,5,5,,,,,,,,,,,,,,,,,7,21,,,,8,,41,41,5,1125,0.1%,
,41,,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,106,,,5,6,42,58,28,56,1,21,8,41,171,6,10,37,45,20,87,5,9,4,16,4,2,13,23,23,81,83,33,14,10,3,7,34,,1113,0.1%,
,42,,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,126,4,,,,209,209,209,,,,34,68,,,,,,,,1111,0.1%,
,43,,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,40,100,62,58,10,125,37,54,33,,46,,3,22,9,,,,5,1,8,3,20,22,12,8,11,,71,154,1091,0.1%,
,44,,India,,,,,,,,,,1,,,,,,,,,1,,,7,2,21,24,31,,,27,22,,,2,,,,,0,1,0,7,0,7,9,2,2,0,0,0,0,21,2,0,4,31,19,33,23,15,27,5,3,,18,40,42,49,56,47,20,153,54,7,34,866,0.0%,
,45,,East Germany (GDR),,,,,,,,,,,17,25,17,29,39,26,,,,,,,,,11,,12,25,15,35,34,43,3,,,,39,116,116,149,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,0.0%,
,46,,Portugal,,,,,,,,,,,,,,,,,,2,,,,3,,5,11,105,21,,4,4,2,,,1,,,1,1,,71,,,,1,,,,,,,,,,,,,,,99,46,,0,0,,18,7,172,56,3,3,46,11,2,10,705,0.0%,
,47,,Indonesia,,,,,,,,,,,,,,7,,,,,,,12,,,,,,,,9,,4,,,,,8,4,,,,,,,18,18,27,,9,,54,,18,54,,27,9,9,,1,,,4,,,,,85,94,15,9,,17,,,510,0.0%,
,48,,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,36,,,217,,,6,42,60,13,,18,3,19,29,20,,12,,,,,,,,,,,,,487,0.0%,
,49,,Syria,,,,,,,,,,,,,,,,,,,,,17,,,,2,2,,0,,,,,178,46,1,32,31,,15,,,,40,40,,,0,0,,,,,,,,,3,,,30,30,,,,,,,,,,,,,,466,0.0%,
,50,,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,,,,20,,,,,5,5,45,0,31,4,15,10,10,62,86,11,27,26,49,3,,,435,0.0%,
,51,,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,24,48,47,41,41,38,1,40,40,21,10,,,,,,13,46,,434,0.0%,
,52,,Hungary,,,,,,,,5,,,,,,,,,18,18,37,28,,,8,44,8,8,,,,,4,30,4,4,,,,,,,,,,21,,6,,24,,,,,34,,,82,,9,,,,,,41,,,,,,,,,,,429,0.0%,
,53,,Pakistan,,,,,,,,,,,,,,,,,,6,,,,3,,,,,,,,,15,30,30,,,,,,,1,82,3,,,2,,,,,,4,,9,8,9,25,4,,1,,,,,,,,1,3,3,1,,53,1,5,297,0.0%,
,54,,Taiwan,,,,,,,,,,,,,,,,,,12,,,,,154,,,,,,,1,,,,,,,,,,42,6,,,,,,4,,,,,6,,,,,,,,16,,,2,,,4,2,2,,2,2,3,,,258,0.0%,
,55,,Greece,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,18,,19,31,9,3,2,2,,6,22,13,23,,,,,,,,,,,30,,,,,7,7,224,0.0%,
,56,,Iraq,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,28,,,,,,,,169,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,0.0%,
,57,,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,92,,,18,18,14,,,,,,,4,5,5,,,,,,,214,0.0%,
,58,,New Zealand,,,,,,,,,,,,,,,,,,1,1,0,,,0,2,5,3,,,,,,1,2,,10,7,0,,,,,34,4,,3,,,,,1,1,,1,,1,0,,,,,,,75,,,1,6,,7,,,,29,20,213,0.0%,
,59,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,69,,69,,16,,,,,,,,,,,,6,7,,,,,,,213,0.0%,
,60,,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,109,,,18,,,,,,,1,,,,,,,199,0.0%,
,61,,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,0,,,3,3,4,4,,3,8,,,,29,,2,1,1,,1,,,,,,100,,,,,,20,,,,0,,,,8,,188,0.0%,
,62,,Saudi Arabia,,,,,,0,,,,,,,,,,,,4,3,,,,2,,,,0,13,,,,33,,,6,4,,,,,,,,12,,,1,,,,,,,,,,18,,,,1,62,,,,3,5,,,,,,,3,170,0.0%,
,63,,Kuwait,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,27,,,,4,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,128,0.0%,
,64,,Argentina,,,,,,,,,,,,,6,,4,,,0,8,,0,,11,,,,1,,,8,1,31,7,5,,,,4,0,,6,0,,13,5,5,,,,,2,,2,,,,2,,,,,1,,,,,,,,,,,,,123,0.0%,
